Country;0-9;okt.19;20-29;30-39;40-49;50-59;60-69;70-79;80-99;Total population
Ecuador;0,19;0,18;0,17;0,15;0,12;0,09;0,06;0,03;0,01;17 643 060
French Guiana;0,22;0,19;0,15;0,13;0,12;0,09;0,06;0,02;0,01;298 682
Guyana;0,19;0,18;0,18;0,12;0,12;0,1;0,07;0,03;0,01;786 559
Paraguay;0,19;0,19;0,19;0,16;0,1;0,08;0,06;0,03;0,01;7 132 530
Peru;0,17;0,16;0,16;0,16;0,13;0,1;0,07;0,04;0,02;32 971 846
Suriname;0,18;0,17;0,16;0,14;0,12;0,11;0,06;0,03;0,01;586 634
Uruguay;0,14;0,14;0,15;0,13;0,13;0,11;0,09;0,06;0,04;3 473 727
Venezuela (Bolivarian Republic of);0,18;0,18;0,15;0,14;0,13;0,11;0,07;0,03;0,01;28 435 943
Australia;0,13;0,12;0,13;0,15;0,13;0,12;0,1;0,07;0,04;25 499 881
New Zealand;0,13;0,13;0,14;0,13;0,12;0,13;0,11;0,08;0,04;4 822 233
Fiji;0,2;0,18;0,16;0,15;0,12;0,1;0,06;0,03;0,01;896 444
New Caledonia;0,14;0,15;0,15;0,15;0,14;0,12;0,08;0,05;0,01;285 491
Papua New Guinea;0,24;0,21;0,17;0,14;0,1;0,07;0,04;0,02;0;8 947 027
Solomon Islands;0,29;0,22;0,16;0,12;0,1;0,06;0,03;0,02;0;686 878
Vanuatu;0,26;0,22;0,17;0,13;0,1;0,07;0,04;0,02;0;307 150
Guam;0,16;0,16;0,16;0,13;0,12;0,12;0,08;0,05;0,02;168 783
Kiribati;0,25;0,2;0,17;0,14;0,09;0,08;0,04;0,02;0;119 446
Micronesia (Fed. States of);0,21;0,2;0,19;0,13;0,1;0,09;0,06;0,02;0;115 021
French Polynesia;0,14;0,16;0,14;0,15;0,14;0,13;0,08;0,04;0,01;280 904
Samoa;0,26;0,21;0,16;0,11;0,1;0,08;0,05;0,02;0,01;198 410
Tonga;0,23;0,22;0,16;0,12;0,1;0,08;0,05;0,03;0,01;105 697
Belarus;0,12;0,1;0,11;0,16;0,14;0,14;0,13;0,06;0,04;9 449 321
Bulgaria;0,09;0,1;0,1;0,14;0,15;0,14;0,13;0,1;0,04;6 948 445
Czechia;0,1;0,1;0,1;0,14;0,17;0,13;0,12;0,1;0,05;10 708 982
Hungary;0,09;0,1;0,12;0,13;0,16;0,12;0,14;0,09;0,05;9 660 350
Poland;0,1;0,1;0,12;0,16;0,15;0,12;0,14;0,08;0,05;37 846 605
Republic of Moldova;0,11;0,1;0,14;0,19;0,14;0,13;0,12;0,05;0,02;4 033 963
Romania;0,1;0,11;0,11;0,13;0,16;0,13;0,13;0,08;0,05;19 237 682
Russian Federation;0,13;0,1;0,11;0,17;0,14;0,13;0,13;0,06;0,04;145 934 460
Slovakia;0,1;0,1;0,12;0,16;0,16;0,13;0,13;0,07;0,03;5 459 643
Ukraine;0,1;0,1;0,11;0,16;0,15;0,14;0,13;0,07;0,04;43 733 759
Channel Islands;0,1;0,1;0,13;0,14;0,14;0,15;0,12;0,08;0,05;173 859
Denmark;0,1;0,12;0,13;0,12;0,13;0,14;0,11;0,1;0,05;5 792 203
Estonia;0,11;0,1;0,11;0,15;0,14;0,12;0,13;0,08;0,06;1 326 539
Finland;0,1;0,11;0,12;0,13;0,12;0,13;0,13;0,11;0,06;5 540 718
Iceland;0,13;0,13;0,14;0,14;0,13;0,12;0,11;0,07;0,04;341 250
Ireland;0,14;0,14;0,11;0,14;0,15;0,12;0,1;0,07;0,03;4 937 796
Latvia;0,11;0,1;0,1;0,14;0,13;0,14;0,13;0,09;0,05;1 886 202
Lithuania;0,11;0,09;0,12;0,12;0,13;0,15;0,13;0,08;0,06;2 722 291
Norway;0,11;0,12;0,13;0,14;0,13;0,13;0,11;0,08;0,04;5 421 242
Sweden;0,12;0,11;0,13;0,13;0,13;0,13;0,11;0,1;0,05;10 099 270
United Kingdom;0,12;0,11;0,13;0,14;0,13;0,14;0,11;0,09;0,05;67 886 004
Albania;0,12;0,13;0,16;0,14;0,11;0,13;0,11;0,07;0,03;2 877 800
Bosnia and Herzegovina;0,09;0,11;0,12;0,14;0,14;0,15;0,14;0,07;0,03;3 280 815
Croatia;0,09;0,1;0,12;0,13;0,14;0,14;0,14;0,09;0,06;4 105 268
Greece;0,08;0,1;0,1;0,13;0,15;0,14;0,12;0,09;0,07;10 423 056
Italy;0,08;0,09;0,1;0,12;0,15;0,16;0,12;0,1;0,07;60 461 828
Malta;0,1;0,09;0,13;0,15;0,13;0,12;0,13;0,1;0,05;441 539
Montenegro;0,12;0,13;0,13;0,14;0,13;0,13;0,12;0,06;0,03;628 062
North Macedonia;0,11;0,11;0,14;0,16;0,14;0,14;0,12;0,06;0,02;2 083 380
Portugal;0,08;0,1;0,11;0,12;0,15;0,15;0,13;0,1;0,07;10 196 707
Serbia;0,1;0,11;0,13;0,14;0,14;0,13;0,13;0,08;0,04;8 737 370
Slovenia;0,1;0,09;0,1;0,14;0,15;0,14;0,14;0,09;0,06;2 078 932
Spain;0,09;0,1;0,1;0,13;0,17;0,15;0,11;0,09;0,06;46 754 783
Austria;0,1;0,1;0,12;0,14;0,13;0,16;0,11;0,09;0,05;9 006 400
Belgium;0,11;0,11;0,12;0,13;0,13;0,14;0,12;0,08;0,06;11 589 616
France;0,12;0,12;0,11;0,12;0,13;0,13;0,12;0,09;0,06;65 273 512
Germany;0,09;0,09;0,11;0,13;0,12;0,16;0,13;0,09;0,07;83 783 945
Luxembourg;0,11;0,11;0,14;0,16;0,15;0,15;0,1;0,06;0,04;625 976
Netherlands;0,1;0,11;0,12;0,12;0,13;0,15;0,12;0,09;0,05;17 134 873
Switzerland;0,1;0,1;0,12;0,14;0,13;0,15;0,11;0,09;0,05;8 654 618
Canada;0,11;0,11;0,14;0,14;0,13;0,14;0,12;0,08;0,05;37 742 157
US;0,12;0,13;0,14;0,13;0,12;0,13;0,12;0,07;0,04;331 002 647
